_id,Infrastructure Layer 1,Infrastructure Layer 2,Components,Description
91,Airport Infrastructure,Electrical,Equipment,"Equipments such as automatic transfer switch, Back-up generator"
92,Airport Infrastructure,Electrical,Navaids,NAN
93,Airport Infrastructure,Mechanical,Pumping Station,Pumping station for collecting and discharging spent glycol from aircraft de-icing operations
94,Airport Infrastructure,Mechanical,HVAC,"Condensing units, Doemstic AC units, Roof units (AHU), Split system AC, Cooling coils, Central HVAC system"
95,Airport Infrastructure,Mechanical,Plumbing Equipment,Eye wash stations
96,Airport Infrastructure,Mechanical,Other Equipment,De-icing equipment
97,Airport Infrastructure,O & M,NAN,"Snow cleaning, Crack filling, Flight operation, Maintenance, Environmental Monitoring"
98,Electrical,Telecommunication,NAN,Telecommunication systems below and above the ground
99,Electrical,Solar Farm,Panels,NAN
100,Personnel,Visitors,NAN,NAN
101,Dam,Water Level,NAN,Instrumentation for monitoring of water levels
102,Dam,Structural,NAN,Structural elements of the dam including concrete and steel post tensioning
103,Coastal Infrastructure,Electrical,Shore power,Electrical services for cargo ships docking along the Ship Channel
104,Coastal Infrastructure,Electrical,Hydraulic,Hydraulic equipment
105,Coastal Infrastructure,Electrical,Encased utilities,Assets including explosion proof nad fiber optic cables and communications lines and power
106,Coastal Infrastructure,Stormwater,Storm drainage and sewer,The components of the minor and major drainage systems that cross under or over the dike system
107,Coastal Infrastructure,Building,Storage,The building used for liquid bulk storage compound
108,Coastal Infrastructure,Building,Manifold House,The building used to unload fuel or acid pumping
109,Coastal Infrastructure,Breakwaters,Breakwater land connections,Immediate land connections (dunes and rock berms) to the breakwaters
110,Coastal Infrastructure,Dike,Crest,NAN
111,Coastal Infrastructure,Petroleum,Pipeline,NAN
112,Coastal Infrastructure,Mechanical,Equipment,Mechanical equipments such as winches and pumps
113,Coastal Infrastructure,Deck,Deck,Terminal and berth deck
114,Coastal Infrastructure,Dock,Cribs and Fenders,NAN
115,Coastal Infrastructure,Dock,Piers,NAN
116,Coastal Infrastructure,Operation and Maintenance,Operations,Operations infrastructure include all of those processes and procedures that keeps the facility runing such as maintenance dredging and cargo handling.
117,Roads & Assoc. Infras,Sign,NAN,Street signs
118,Roads & Assoc. Infras,Structural,NAN,"Structural consition of Territorial roads, highway, municipal roads, parking areas"
119,Roads & Assoc. Infras,O & M,NAN,"O & M activities such as surface maintenance, drainage maintenance, winter maintenance."
120,Bridges,Electrical,NAN,Electrical elements and supply for operating bridge
121,Wastewater,Water Pollution Control,NAN,NAN
122,Wastewater,Other Facilities,NAN,Other infrastructures such as residual handling facility
123,Stormwater,Stormwater Treatment Unit,NAN,"Devices to remove debris, suspended solids, hydro-carbons"
124,Buildings,Community Housing,NAN,NAN
125,Buildings,Office,NAN,NAN
126,Buildings,Recreation infrastructure,NAN,Community centers and buildings used for recreational activities such as sport centers and arenas
127,Buildings,Garage and container,NAN,NAN
128,Airport Infrastructure,Building,Storage,Equipment storage
129,Airport Infrastructure,Roads & Assoc. Infras,Sign,Structure of (security) fences
130,Airport Infrastructure,Roads & Assoc. Infras,Fences,NAN
131,Airport Infrastructure,Electrical,Telecommunication,NAN
132,Airport Infrastructure,Mechanical,Fire Protection,Incoming water service
133,Airport Infrastructure,Nature based structures,Natural Foundation,NAN
134,Airport Infrastructure,Weather Station,NAN,NAN
135,Airport Infrastructure,Personnel,NAN,NAN
136,Electrical,Lighting,NAN,NAN
137,Electrical,Emergency System,NAN,NAN
138,Electrical,Solar Farm,Foundation,NAN
139,Mechanical,Air Distribution,NAN,"Outdoor air intakes, Exhaust hoods, Exhaust louvres, Exhaust fans, Ductwork, Supply fans"
140,Dam,Catchment,NAN,The area in which rainfall flows into river ot lake
141,Coastal Infrastructure,Wharf,Confederation wharf,It consists of a steel pipe pile structure supported with concrete pile caps connected with steel members that support a concrete deck
142,Coastal Infrastructure,Roads & Assoc. Infrastructure,Marshalling yard,It is used by vehicles to queue for ferry boarding
143,Coastal Infrastructure,Roads & Assoc. Infrastructure,Ramp,NAN
144,Coastal Infrastructure,Roads & Assoc. Infrastructure,Fencing and Gates,NAN
145,Coastal Infrastructure,Breakwaters,Revetment,Armour stone revetments protect trasnportation infrastructure against erosion of sediment
146,Coastal Infrastructure,Dike,Seawall,The long steel sheet pile seawall is designed to control flood level.
147,Coastal Infrastructure,Dike,Fill,"Compacted, non-liquefiable earthfill"
148,Coastal Infrastructure,Petroleum,Oil-water separator,NAN
149,Coastal Infrastructure,Underground Utilities,NAN,NAN
150,Roads & Assoc. Infras,Fences,NAN,Structure of (security) fences
151,Roads & Assoc. Infras,Rail,NAN,Structural condition of rail network
152,Wastewater,Wastewater Treatment Plant,Reclaimed Water System,NAN
153,Wastewater,Manhole,NAN,"It is used to connect sewer pipes, receive catch basin leads, and provide access from the surface for inspection and maintenance."
154,Wastewater,Outfall,NAN,NAN
155,Wastewater,Sewage Lagoon,NAN,NAN
156,Solid Waste,Solid Waste Site,NAN,NAN
157,Potable Water,Watermain,NAN,Watermain above and below ground
158,Potable Water,Water Intake,NAN,The intake structure allows raw water to flow by gravity through the raw water intake pipe into the lift pump well.
159,Potable Water,Drinking Water Well,NAN,NAN
160,Stormwater,Stormwater Sewer Main,NAN,Storm sewer mains above and below ground
161,Stormwater,Piping,NAN,"Piping system includes conduits, culverts, catch basin, manhole, overland drainage, drainage"
162,Airport Infrastructure,Roads & Assoc. Infras,Lighting,NAN
163,Airport Infrastructure,Electrical,Alaram System,Fire alaram system
164,Airport Infrastructure,Mechanical,Air Distribution,"Outdoor air intakes, Exhaust air hoods, Exhaust louvres, Exhaust fans, Ductwork, Supply fans"
165,Airport Infrastructure,Mechanical,Food & Housekeeping Services,"Refrigerators, Water coolers & filling stations"
166,Airport Infrastructure,Water systems,Wastewater,NAN
167,Airport Infrastructure,Water systems,Potable Water,NAN
168,Airport Infrastructure,Nature based structures,Vegetation,NAN
169,Electrical,Distribution & Transmission,NAN,"Power lines, poles, fused cut out, cable chamber, substation"
170,Electrical,Equipment,NAN,Equipments such as generator
171,Electrical,Solar Farm,Inverter,NAN
172,Personnel,Operators,NAN,"Management, operation and maintenance Staff"
173,Dam,Water Quality,NAN,NAN
174,Dam,Rehabilitation,NAN,NAN
175,Dam,Water Gates,NAN,Fine tunable mechanical gates proposed to replace stop logs
176,Dam,Equipment,NAN,NAN
