_id,Study,Location,Lat,Lon,Spatila Resolution,Projection Scenario,Time Horizon (His. & Fut.),Threshold
26,Stantec (2019) (ON) (Multi),Casselman,45.3115,-75.0894,10 km,RCP 8.5,1981-2010 & 2011-2100,"Various Sources: Engineering codes and standards, Practitioner experience, Literature review, Forensic investigation of past event, Stantec interviews with Hydro Ottawa personnel"
27,WSP (2019) (YT) (Faro),Faro,62.2293,-133.3528,,RCP 8.5,1976-2005 & 2021-2080,IDF Tool: The threshold values were 30% greater than IDF historical data or no specific threshold was defined.
28,City of Thunder Bay (2019) (ON) (Thunder Bay),Thunder Bay,48.37818,-89.2496,,,NA & 2050-2080,Not Available:Not Available
29,WSP (2019) (BC) (Tofino),Tofino,49.152903,-125.908007,,RCP 8.5,1981-2010 & 2040-2100,"Various Sources: Professional judgement, Historical data, Design documents, BC Drought Response Plan, USEPA "
30,Stantec (2019) (QC) (Quebec City),Quebec City,46.81326,-71.20501,,RCP 8.5,1981-2010 & 2041-2070,"Various Sources: Professional judgement, Historical data"
31,WSP (2022) (AB) (Forest Lawn),Calgary,51.042303,-113.96026,,RCP 8.5,1981-2010 & 2041-2100,"National Design Standards and Codes: Design criteria are selected when available, such as for snow load or drainage capacity && Government of Canada: Enhanced Fujita scale damage indicators and degrees of damage && Historical means: If no design criteria existed, historical data is used"
32,Dillon (2022) (AB),Calgary,51.024009,-114.114799,,RCP 8.5,1981-2010 & 2041-2100,"National Design Standards and Codes: Design criteria are selected when available && Environment Climate Change Canada (ECCC): Design criteria are selected based on Fujita scale damage indicators for wind and ECCC warning criteria && Historical means: If no design criteria existed, historical data is used"
33,Integral Group (2022) (AB),Calgary,51.04494,-114.06115,,RCP 8.5,1981-2010 & 2041-2100,National Design Standards and Codes: Design criteria are selected when available
34,Stantec (2023) (AB) (Manchester Complex),Calgary,51.029114,-114.048348,,RCP 8.5,1981-2010 & 2041-2100,"Various Sources: Historical data, Professional judgment"
35,Stantec (2023) (AB) (Arts Center),Calgary,51.07670035,-114.0728066,,RCP 8.5,1981-2010 & 2041-2100,"Various Sources: Historical data, Professional judgment"
36,Stantec (2022) (AB),Calgary,51.042739,-114.061705,,RCP 8.5,1981-2010 & 2041-2100,"Various Sources: Historical data, Professional judgment"
37,Stantec (2023) (AB) (Village Square),Calgary,51.0760971,-113.9540464,,RCP 8.5,1981-2010 & 2041-2100,"Various Sources: Historical data, Professional judgment"
38,WSP (2022) (AB) (Transit),Calgary,51.04430801,-114.0468407,,RCP 8.5,1981-2010 & 2041-2100,"National Design Standards and Codes: Design criteria are selected when available && Environment Climate Change Canada (ECCC): Design criteria are selected based on Fujita scale damage indicators for wind && Historical means: If no design criteria existed, historical data is used && Other Sources: Professional judgement"
39,WSP (2021) (NB) (Saint John),Saint John,45.32952721,-65.89056974,,RCP 8.5,1976-2005 & 2021-2080,"National Design Standards and Codes: Design criteria are selected when available, such as for structural components construction && Historical means: If no design criteria existed, historical data is used"
